               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  26,            0.035749,            0.024149,            0.015126,             0.85639,               0.875,              0.8145,             0.32191,            0.039069,            0.021252,          0.00023136,            0.074369,           0.0003692,           0.0003692
                  27,            0.034685,            0.027964,            0.017531,             0.85639,               0.875,              0.8145,             0.32191,            0.039069,            0.021252,          0.00023136,            0.073294,           0.0002943,           0.0002943
                  28,             0.03978,            0.024578,           0.0039123,             0.97893,                   1,               0.995,             0.33985,              0.0389,            0.021063,          0.00023315,            0.072213,           0.0002128,           0.0002128
                  29,            0.037858,            0.029527,             0.01899,             0.97893,                   1,               0.995,             0.33985,              0.0389,            0.021063,          0.00023315,            0.071125,           0.0001247,           0.0001247
                   0,            0.042039,            0.033848,           0.0085568,             0.15863,                 0.5,             0.28176,            0.080589,            0.049094,            0.039707,            0.061663,                 0.1,                   0,                   0
                   1,             0.03863,            0.030728,             0.02742,             0.19319,                0.25,             0.34364,             0.12514,            0.048359,            0.040068,            0.059644,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.048871,            0.019565,            0.012345,              0.2003,               0.625,             0.38499,             0.13343,             0.04775,            0.040539,            0.058228,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.047684,            0.042281,            0.021857,             0.98031,                   1,               0.995,             0.47065,            0.025551,            0.024428,          0.00022091,                 0.1,                   0,                   0
                   1,            0.043765,            0.035275,           0.0094462,             0.98021,                   1,               0.995,              0.4887,             0.02538,            0.024167,          0.00021637,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.036651,            0.029552,             0.02693,             0.98017,                   1,               0.995,             0.49552,            0.025531,            0.024049,          0.00021104,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.043459,            0.037203,             0.01408,              0.7045,               0.625,             0.63983,              0.2649,            0.038604,            0.032266,          0.00030372,                 0.1,                   0,                   0
                   1,            0.041755,            0.033034,            0.032519,             0.70162,               0.625,             0.63983,              0.2649,            0.038014,            0.032265,          0.00028265,            0.099067,             6.7e-05,             6.7e-05
                   2,            0.041129,            0.026257,            0.035374,             0.69776,               0.625,             0.63983,             0.27791,            0.037766,            0.032305,           0.0002671,            0.098068,             6.8e-05,             6.8e-05
                   0,            0.049632,            0.039646,            0.022379,             0.45658,               0.375,             0.37958,             0.14004,            0.049019,            0.029146,          0.00034789,                 0.1,                   0,                   0
                   1,            0.076867,            0.038405,            0.059559,              0.4526,               0.375,             0.37958,             0.14004,            0.047948,            0.029153,          0.00030696,            0.099097,            9.67e-05,            9.67e-05
                   2,             0.04985,            0.028202,            0.029258,             0.45167,               0.375,             0.37958,             0.14004,            0.046709,            0.029054,          0.00028097,            0.098187,           0.0001868,           0.0001868
                   3,            0.074044,            0.047005,            0.035105,              0.4467,               0.375,             0.37958,             0.14004,            0.045544,            0.029022,          0.00025927,             0.09727,           0.0002703,           0.0002703
                   4,            0.042608,            0.049381,            0.026397,             0.44273,               0.375,             0.37958,             0.14004,             0.04453,            0.028949,          0.00024412,            0.096347,           0.0003472,           0.0003472
                   5,            0.041346,            0.033878,            0.018439,             0.43925,               0.375,             0.37958,             0.14004,            0.043274,            0.028804,            0.000231,            0.095418,           0.0004175,           0.0004175
                   6,            0.041577,            0.035186,            0.027095,             0.43618,               0.375,             0.37958,             0.15312,            0.042369,             0.02872,          0.00022248,            0.094481,           0.0004812,           0.0004812
                   7,            0.039801,            0.038883,            0.030133,             0.43097,               0.375,             0.37958,             0.15995,            0.041432,            0.028609,          0.00021531,            0.093538,           0.0005383,           0.0005383
                   8,             0.03637,            0.033797,            0.014972,             0.42794,               0.375,             0.37958,             0.15995,            0.040555,            0.028431,          0.00021131,            0.092589,           0.0005888,           0.0005888
                   9,            0.070167,            0.031237,            0.023714,             0.42588,               0.375,             0.37958,               0.178,            0.040137,            0.028393,          0.00020778,            0.091633,           0.0006327,           0.0006327
                  10,            0.037587,            0.032792,            0.022337,             0.42274,               0.375,             0.37958,               0.178,            0.039578,            0.028301,          0.00020465,             0.09067,             0.00067,             0.00067
                  11,            0.043099,            0.033372,            0.035907,             0.54366,                 0.5,             0.44783,             0.18482,            0.038804,            0.028092,          0.00020496,            0.089701,           0.0007007,           0.0007007
                  12,            0.044003,            0.037756,            0.015881,             0.54425,                 0.5,             0.44783,             0.18482,              0.0379,            0.027839,          0.00020488,            0.088725,           0.0007248,           0.0007248
                  13,            0.033586,            0.023841,            0.021337,             0.54446,                 0.5,             0.44783,             0.20468,            0.037312,            0.027593,          0.00020704,            0.087742,           0.0007423,           0.0007423
                  14,            0.034583,            0.025767,            0.012304,             0.54469,                 0.5,             0.44783,             0.21086,            0.037325,             0.02745,          0.00020864,            0.086753,           0.0007532,           0.0007532
                  15,            0.075189,            0.032056,            0.017235,             0.54363,                 0.5,             0.44783,             0.21086,            0.036968,            0.027267,          0.00021092,            0.085758,           0.0007575,           0.0007575
                  16,            0.043594,            0.033656,            0.017457,             0.54086,                 0.5,             0.44783,             0.22961,            0.036501,            0.027019,          0.00021274,            0.084755,           0.0007552,           0.0007552
                  17,            0.037442,            0.035337,             0.01671,             0.54086,                 0.5,             0.44783,             0.22961,            0.036501,            0.027019,          0.00021274,            0.083746,           0.0007463,           0.0007463
                  18,            0.070656,            0.036537,            0.051631,             0.53548,                 0.5,             0.44783,             0.22961,             0.03625,            0.026801,           0.0002173,            0.082731,           0.0007308,           0.0007308
                  19,            0.073649,            0.032886,            0.034918,             0.53548,                 0.5,             0.44783,             0.22961,             0.03625,            0.026801,           0.0002173,            0.081709,           0.0007087,           0.0007087
                  20,            0.037984,             0.02884,            0.019176,              0.6529,               0.625,             0.51679,             0.24333,             0.03565,            0.026549,          0.00021964,             0.08068,             0.00068,             0.00068
                  21,            0.062712,            0.033344,            0.023759,              0.6529,               0.625,             0.51679,             0.24333,             0.03565,            0.026549,          0.00021964,            0.079645,           0.0006447,           0.0006447
                  22,             0.07414,            0.041403,            0.027376,             0.64559,               0.625,             0.51608,             0.24283,            0.035514,            0.026415,           0.0002244,            0.078603,           0.0006028,           0.0006028
                  23,            0.038849,            0.037699,            0.020507,             0.64559,               0.625,             0.51608,             0.24283,            0.035514,            0.026415,           0.0002244,            0.077554,           0.0005543,           0.0005543
                  24,            0.067921,            0.030865,            0.017352,             0.51541,                 0.5,             0.44712,             0.26196,            0.035571,             0.02633,          0.00022697,            0.076499,           0.0004992,           0.0004992
                  25,            0.039533,            0.032061,            0.016495,             0.51541,                 0.5,             0.44712,             0.26196,            0.035571,             0.02633,          0.00022697,            0.075438,           0.0004375,           0.0004375
                  26,            0.036379,            0.030055,            0.013578,              0.5107,                 0.5,             0.44712,             0.26196,            0.035633,            0.026218,          0.00022872,            0.074369,           0.0003692,           0.0003692
                  27,            0.035694,            0.021856,            0.024383,              0.5107,                 0.5,             0.44712,             0.26196,            0.035633,            0.026218,          0.00022872,            0.073294,           0.0002943,           0.0002943
